PM2.5,PM10,SO2,CO,O3,NO2
28,11,18,12,17,3
27,11,18,12,18,3
26,10,17,11,18,3
25,10,16,11,18,3
24,9,15,10,19,3
22,9,15,10,19,3
23,9,15,10,19,3
23,9,15,10,19,2
22,9,15,10,19,3
21,8,15,10,19,3
21,8,15,10,19,3
20,8,15,10,19,3
19,8,15,10,20,3
19,8,15,10,20,3
20,8,14,10,20,3
21,8,14,10,20,3
22,9,15,11,21,3
24,9,15,12,21,3
26,10,15,12,21,3
29,11,16,13,20,4
31,12,16,13,19,4
33,13,16,13,18,4
34,13,16,14,17,4
36,14,17,14,16,4
39,15,17,15,15,4
42,16,18,15,15,4
44,17,18,16,14,4
46,18,20,17,14,4
48,19,20,17,14,4
50,20,20,17,14,4
50,20,20,17,13,4
51,20,21,17,14,4
52,22,21,17,14,4
53,23,21,18,14,4
53,24,21,18,14,4
53,24,21,18,15,4
53,24,21,18,15,5
53,24,21,18,15,5
53,24,20,19,16,5
53,24,21,20,16,5
53,24,21,20,17,5
53,24,21,19,17,5
53,24,20,19,17,5
53,24,21,20,18,5
53,24,22,21,18,5
54,25,22,22,19,5
55,26,22,21,20,5
55,26,22,22,20,5
55,26,22,22,21,6
55,26,22,22,21,6
55,26,22,22,22,6
56,27,22,23,22,6
56,27,22,22,22,6
56,27,22,22,22,6
55,26,22,22,22,6
55,26,22,22,22,5
54,25,22,22,22,5
53,24,22,21,22,5
53,23,22,21,22,5
53,23,22,21,21,5
53,23,22,21,21,5
53,23,21,21,21,5
53,23,21,21,21,5
53,23,21,19,21,5
52,22,20,18,20,5
51,22,20,18,20,5
51,21,19,17,20,5
48,20,17,15,20,6
44,18,16,14,19,6
40,16,16,13,19,6
36,15,16,13,19,6
33,13,15,12,19,6
31,12,15,11,18,6
28,11,14,10,18,6
25,10,13,10,19,6
22,9,13,9,19,6
21,8,13,10,20,6
21,8,13,10,21,6
22,9,13,11,21,6
24,9,13,11,21,6
26,10,13,12,21,7
27,11,13,12,20,7
28,11,14,12,20,7
28,11,14,13,20,7
28,11,15,13,20,7
29,12,15,13,20,6
31,12,16,13,19,6
32,13,16,14,20,6
33,13,17,16,20,7
34,14,18,19,21,7
37,15,20,21,22,7
41,17,22,23,22,7
45,18,23,23,22,7
46,19,23,24,22,7
47,19,23,24,22,7
48,20,23,24,22,7
49,20,23,24,21,7
49,20,23,24,21,7
50,20,23,24,20,7
50,21,23,23,19,7
50,21,23,23,18,7
50,21,24,23,17,7
51,22,24,23,17,7
52,22,24,23,17,7
52,23,24,23,17,7
52,23,23,23,18,7
52,23,23,23,18,7
53,24,23,23,18,7
54,24,23,23,18,7
54,25,23,23,18,7
55,26,23,23,18,7
56,27,23,22,18,7
57,28,22,20,17,6
57,28,21,17,17,6
56,27,20,15,16,6
55,26,18,12,15,5
54,24,17,12,14,5
53,24,17,12,14,5
53,23,17,12,14,5
52,23,17,12,14,5
52,23,17,12,14,4
52,23,17,12,14,4
52,23,17,12,14,4
52,23,18,12,14,4
52,23,20,14,14,4
52,23,21,16,14,4
51,22,21,16,15,4
51,21,21,16,15,4
49,20,21,16,15,4
47,19,21,16,16,4
45,18,21,15,16,5
43,17,21,16,17,5
41,17,21,16,17,5
40,16,21,15,17,5
38,15,21,16,17,5
36,14,21,16,16,5
33,13,22,17,16,5
33,13,22,18,16,5
34,13,24,20,17,5
36,14,26,22,17,4
39,16,26,23,18,5
42,17,27,23,18,5
43,17,27,23,19,5
45,18,27,23,19,5
47,19,27,23,20,5
48,19,27,23,20,5
50,20,28,24,20,5
51,21,27,23,20,5
51,21,26,22,20,5
51,21,25,20,20,5
51,21,25,20,20,5
51,21,25,20,20,4
51,21,24,20,20,4
52,22,24,20,19,4
52,22,24,20,19,4
53,23,24,19,19,4
53,23,24,19,20,4
53,23,23,18,21,4
53,23,23,17,22,4
54,24,24,17,22,4
56,25,23,16,21,4
56,26,23,15,21,4
56,26,21,13,20,4
56,26,20,11,20,4
56,26,19,10,20,4
56,26,19,10,20,4
56,26,19,10,20,4
56,26,19,10,20,4
56,26,19,10,21,4
56,26,19,9,21,4
56,26,18,9,22,4
55,25,17,8,22,4
55,25,17,8,24,4
56,26,16,7,24,4
58,27,16,7,24,4
59,29,16,7,24,4
60,30,16,7,24,4
61,31,16,7,24,4
62,32,17,8,25,4
63,33,17,8,25,5
64,34,17,8,24,5
65,35,17,9,23,5
65,36,17,9,23,5
65,36,16,10,25,5
66,36,16,10,26,5
65,36,15,10,28,5
